2.jpg, church (23.25), monastery (16.85), mosque (16.76), bell_cote (15.88), beacon (15.88), 
2013-10-08 10.43.44.jpg, four-poster (22.01), studio_couch (19.07), quilt (18.61), bassinet (16.58), cradle (15.28), 
2013-10-15 15.01.44.jpg, hen-of-the-woods (17.79), carbonara (17.09), plate (16.55), gyromitra (16.53), cauliflower (16.04), 
2013-10-22 13.53.19.jpg, weevil (13.80), long-horned_beetle (13.54), ground_beetle (13.07), cockroach (12.86), American_lobster (12.66), 
2013-10-24 12.33.50.jpg, promontory (17.40), lakeside (17.33), dam (17.00), valley (14.97), seashore (14.32), 
2013-10-24 18.01.55.jpg, water_tower (12.26), missile (12.26), prison (12.17), projectile (11.77), trailer_truck (11.62), 
2013-10-25 18.10.44.jpg, beach_wagon (16.37), minivan (16.21), cab (15.63), sports_car (14.67), car_wheel (14.01), 
2013-10-25 19.29.44.jpg, monitor (12.29), menu (11.93), screen (11.12), scoreboard (10.85), space_shuttle (10.50), 
2013-10-26 09.57.26.jpg, valley (14.89), viaduct (13.63), cliff (12.81), alp (12.59), promontory (10.56), 
2013-10-26 13.07.40.jpg, cheeseburger (31.39), bagel (24.43), plate (21.18), cup (20.68), meat_loaf (20.37), 
2013-10-26 16.51.57.jpg, Chihuahua (11.36), bonnet (11.19), Siamese_cat (10.34), conch (10.20), sax (10.09), 
2013-10-26 16.57.43 HDR.jpg, suit (14.06), Windsor_tie (14.02), quill (12.57), plastic_bag (11.55), abaya (11.04), 
2013-10-26 17.36.14 HDR.jpg, bannister (13.17), candle (12.85), folding_chair (12.69), matchstick (12.46), stove (11.65), 
2013-10-27 13.05.42.jpg, viaduct (19.49), dam (17.70), steel_arch_bridge (14.47), cliff (13.87), valley (13.32), 
2013-10-27 13.05.58 HDR.jpg, Gila_monster (13.90), valley (13.17), alp (12.46), cliff (12.14), promontory (11.58), 
2013-11-03 00.43.25.jpg, bookcase (11.43), quilt (11.25), stole (11.21), medicine_chest (10.99), neck_brace (10.79), 
2013-11-03 16.53.35.jpg, carton (12.40), quilt (11.77), studio_couch (11.39), pillow (11.37), window_shade (11.35), 
2013-11-04 14.28.36.jpg, carpenter's_kit (14.20), screwdriver (13.98), cleaver (13.44), turnstile (12.67), cornet (12.61), 
2013-11-06 13.33.38.jpg, waffle_iron (26.00), coffeepot (20.09), water_jug (18.43), milk_can (18.36), pitcher (17.36), 
2013-11-22 14.37.17.jpg, beacon (19.22), drilling_platform (17.38), liner (15.40), water_tower (14.72), breakwater (14.36), 
2013-11-25 19.41.09.jpg, beer_glass (15.81), pomegranate (15.63), red_wine (15.43), goblet (13.23), perfume (13.13), 
2013-12-01 21.33.32.jpg, soup_bowl (14.54), mixing_bowl (14.44), trifle (13.58), eggnog (12.79), ice_lolly (12.68), 
2013-12-01 21.40.57.jpg, consomme (36.54), soup_bowl (28.77), plate (24.93), wooden_spoon (23.75), Granny_Smith (21.67), 
2013-12-01 21.50.14.jpg, plate (25.29), consomme (24.41), hotdog (23.13), meat_loaf (20.34), burrito (20.25), 
2013-12-01 22.31.48.jpg, plate (15.44), tray (15.25), chocolate_sauce (14.92), consomme (14.68), ice_cream (14.67), 
2013-12-01 23.01.22.jpg, ice_cream (19.39), chocolate_sauce (17.95), burrito (15.48), trifle (14.92), mashed_potato (14.70), 
2013-12-02 15.40.33.jpg, mitten (21.37), sock (19.33), cardigan (18.33), wool (17.83), buckle (15.80), 
2013-12-04 11.33.26.jpg, Crock_Pot (24.49), soup_bowl (18.68), consomme (17.83), ice_cream (17.62), mixing_bowl (17.58), 
2013-12-06 12.33.33.jpg, home_theater (16.46), lampshade (15.56), table_lamp (14.83), spotlight (13.92), window_shade (13.44), 
2013-12-08 20.42.34.jpg, pool_table (22.69), ping-pong_ball (19.71), grand_piano (16.92), home_theater (16.47), monitor (16.27), 
2013-12-09 21.12.08.jpg, meat_loaf (21.39), mashed_potato (20.71), cheeseburger (20.63), burrito (20.57), hotdog (20.21), 
2013-12-10 20.05.57.jpg, hot_pot (22.11), wooden_spoon (20.71), burrito (20.68), soup_bowl (20.57), consomme (19.71), 
2013-12-22 14.51.01.jpg, tripod (14.24), disk_brake (12.77), long-horned_beetle (11.31), reel (11.18), screwdriver (11.10), 
2013-12-31 14.19.09.jpg, electric_fan (11.28), microphone (11.21), stethoscope (10.91), vacuum (10.75), file (10.66), 
2013-12-31 14.49.34.jpg, window_shade (16.23), home_theater (13.88), file (13.30), sliding_door (13.28), monitor (13.20), 
2013-12-31 15.15.24.jpg, bookcase (15.76), medicine_chest (15.49), wine_bottle (13.57), coil (13.55), beer_bottle (12.81), 
2013-12-31 15.17.18.jpg, medicine_chest (14.69), bookcase (14.67), electric_fan (14.10), wine_bottle (12.93), beer_bottle (12.43), 
2014-01-21 14.16.38.jpg, acorn_squash (21.12), spaghetti_squash (19.55), plate (19.30), broccoli (19.23), carbonara (18.76), 
214.jpg, sports_car (20.18), convertible (20.07), racer (19.57), amphibian (17.27), car_wheel (16.64), 
DSC00256.JPG, suit (15.06), Windsor_tie (14.80), oboe (12.20), bow_tie (12.08), seat_belt (11.45), 
DSC00280.JPG, sports_car (17.78), convertible (17.58), racer (16.74), cassette_player (16.59), tape_player (15.91), 
DSC00638.JPG, mosque (29.77), stupa (24.19), dome (24.09), triumphal_arch (20.94), palace (20.87), 
DSC00642.JPG, mosque (30.20), dome (23.98), stupa (21.96), monastery (20.08), palace (19.62), 
DSC00770.JPG, quilt (25.01), studio_couch (23.86), four-poster (21.22), table_lamp (19.44), pillow (18.56), 
DSC09203.JPG, butternut_squash (18.25), Dungeness_crab (17.29), consomme (16.82), American_lobster (15.91), hotdog (15.75), 
DSC09204.JPG, crayfish (18.68), cockroach (18.09), butternut_squash (16.62), American_lobster (15.95), Dungeness_crab (15.84), 
DSC09290.JPG, minibus (27.81), trolleybus (27.35), passenger_car (25.24), tarantula (23.38), streetcar (22.26), 
DSC09945.JPG, bicycle-built-for-two (20.58), jinrikisha (19.09), tricycle (17.30), mountain_bike (17.13), cinema (17.01), 
DSC_0027.jpg, hammerhead (26.91), great_white_shark (26.12), tiger_shark (26.07), killer_whale (23.27), sea_lion (21.56), 
DSC_0042.jpg, great_white_shark (16.92), tiger_shark (15.82), killer_whale (15.27), hammerhead (15.12), space_shuttle (13.81), 
DSC_0045.jpg, hammerhead (20.74), tiger_shark (19.00), great_white_shark (18.33), dugong (15.46), electric_ray (15.12), 
DSC_0060.jpg, killer_whale (13.91), albatross (13.52), little_blue_heron (12.89), grey_whale (12.59), pelican (11.60), 
DSC_0111.jpg, killer_whale (18.20), great_white_shark (18.17), grey_whale (17.63), tiger_shark (16.85), albatross (16.04), 
DSC_0145.jpg, water_snake (16.80), Gila_monster (15.69), eel (15.20), Arabian_camel (14.93), hippopotamus (14.85), 
IMG_0129.JPG, parachute (36.38), balloon (31.95), airship (28.50), umbrella (22.12), rugby_ball (21.04), 
IMG_0311.jpg, dugong (14.18), hammerhead (12.50), tiger_shark (12.43), sea_snake (11.80), swimming_trunks (11.76), 
IMG_0328.jpg, platypus (12.60), grey_whale (11.89), sandbar (11.86), killer_whale (10.61), otter (10.57), 
IMG_0393.jpg, mosque (20.10), space_shuttle (18.43), monastery (18.28), castle (17.90), palace (17.32), 
IMG_0793.JPG, crib (14.51), baseball (13.51), chocolate_sauce (13.43), drum (12.82), packet (12.66), 
IMG_0819.JPG, limousine (15.38), minivan (14.80), beach_wagon (13.31), cab (12.98), car_mirror (12.44), 
IMG_0832.JPG, cab (18.99), sports_car (15.36), photocopier (15.32), cash_machine (15.24), police_van (14.69), 
IMG_1076.JPG, warplane (16.83), electric_locomotive (14.59), wing (14.56), freight_car (13.68), steam_locomotive (13.27), 
IMG_1115.JPG, parachute (15.31), cicada (13.55), crane (12.69), chain_saw (12.17), power_drill (11.99), 
IMG_1187.JPG, gondola (32.43), wreck (25.61), canoe (23.54), speedboat (22.78), amphibian (22.75), 
IMG_1210.JPG, triceratops (14.16), half_track (13.71), tank (13.47), cannon (13.31), box_turtle (13.25), 
IMG_1464.JPG, bicycle-built-for-two (16.83), mountain_bike (16.74), unicycle (16.50), coil (15.89), oscilloscope (14.60), 
IMG_1527.JPG, bell_cote (13.04), altar (11.86), cloak (11.47), monastery (11.18), medicine_chest (11.02), 
IMG_1982.JPG, weasel (18.78), Pekinese (18.39), black-footed_ferret (18.37), polecat (18.16), Shih-Tzu (17.92), 
IMG_2000.JPG, beer_glass (13.91), goblet (12.52), hotdog (12.36), harmonica (12.35), eggnog (12.14), 
IMG_2410.jpg, terrapin (15.97), sundial (15.82), mud_turtle (15.72), box_turtle (15.58), shield (14.27), 
IMG_2595.JPG, pillow (21.51), purse (20.07), wallet (19.86), mailbag (17.93), pencil_box (17.07), 
IMG_2805.JPG, plunger (15.08), dining_table (14.02), modem (13.63), notebook (13.62), laptop (12.98), 
IMG_2808.JPG, screen (18.35), monitor (17.60), home_theater (16.75), desktop_computer (16.65), television (16.56), 
IMG_2820.JPG, screen (17.44), monitor (17.14), desktop_computer (16.48), home_theater (15.56), desk (15.16), 
IMG_2821.JPG, bucket (15.04), shopping_basket (14.64), medicine_chest (13.38), four-poster (12.97), swab (12.49), 
IMG_2874.JPG, airship (14.45), wing (13.25), warplane (12.92), projectile (12.47), missile (11.60), 
IMG_2903.JPG, space_shuttle (37.07), warplane (23.62), airliner (21.92), aircraft_carrier (19.75), wing (19.62), 
IMG_2906.JPG, submarine (15.73), aircraft_carrier (15.00), pier (15.00), container_ship (14.88), space_shuttle (14.68), 
IMG_2911.JPG, barbell (13.96), dumbbell (13.16), punching_bag (12.67), forklift (12.34), horizontal_bar (11.04), 
IMG_2983.JPG, plate (18.24), burrito (17.73), carbonara (17.67), guacamole (17.19), candle (16.59), 
IMG_3050.JPG, cliff (13.96), sea_lion (12.36), leatherback_turtle (12.07), stone_wall (12.06), megalith (11.74), 
IMG_3089.JPG, alp (17.40), mountain_tent (17.17), snowmobile (15.75), ski (14.74), valley (13.55), 
IMG_3107.JPG, alp (10.53), tile_roof (10.47), doormat (10.26), quilt (9.19), stone_wall (9.16), 
IMG_3113.JPG, ptarmigan (13.58), volcano (13.43), plastic_bag (11.79), mountain_tent (11.60), yurt (11.37), 
IMG_3117.JPG, volcano (13.44), valley (11.18), geyser (10.47), alp (10.38), leatherback_turtle (10.00), 
IMG_3165.JPG, impala (28.98), gazelle (26.72), hartebeest (23.45), dingo (20.09), ibex (20.03), 
IMG_3215.JPG, zebra (35.25), hartebeest (21.61), impala (20.61), gazelle (19.89), warthog (19.44), 
IMG_3235.JPG, zebra (54.22), impala (35.94), hartebeest (35.90), gazelle (34.45), tiger (31.64), 
IMG_3242.JPG, zebra (52.60), warthog (38.26), hartebeest (35.58), impala (34.45), gazelle (33.88), 
IMG_3251.JPG, impala (15.35), Arabian_camel (14.94), ibex (14.83), hartebeest (14.72), gazelle (14.68), 
IMG_3261.JPG, African_elephant (40.69), tusker (40.23), Indian_elephant (39.32), water_buffalo (21.61), gorilla (21.51), 
IMG_3311.JPG, warthog (26.57), wild_boar (21.58), hog (19.87), dhole (19.41), bison (19.10), 
IMG_3326.JPG, tusker (32.02), African_elephant (31.73), Indian_elephant (28.67), bison (27.97), warthog (23.60), 
IMG_3328.JPG, African_elephant (38.02), tusker (37.85), Indian_elephant (34.13), warthog (26.43), water_buffalo (22.47), 
IMG_3330.JPG, African_elephant (30.32), tusker (28.00), Indian_elephant (26.96), water_buffalo (22.47), bison (21.45), 
IMG_3335.JPG, African_elephant (40.88), tusker (40.38), Indian_elephant (37.29), water_buffalo (24.81), warthog (22.75), 
IMG_3339.JPG, tusker (41.95), African_elephant (40.71), Indian_elephant (40.47), water_buffalo (26.61), warthog (25.67), 
IMG_3342.JPG, African_elephant (36.09), tusker (35.05), Indian_elephant (33.15), warthog (22.41), triceratops (20.38), 
IMG_3343.JPG, tusker (41.41), African_elephant (40.47), Indian_elephant (40.07), hartebeest (26.11), warthog (23.94), 
IMG_3347.JPG, tusker (38.26), African_elephant (37.54), Indian_elephant (34.50), warthog (25.33), water_buffalo (24.89), 
IMG_3361.JPG, zebra (35.71), African_hunting_dog (23.91), hartebeest (23.67), tiger (22.83), gazelle (21.94), 
